subject,timing,session,run,trial,target,response,correct,pulse_count,trial_dur,wait_pre_stim
S1,shorter,1,5,2,1,1,True,3,7.39397800503,1.10292779304
S1,shorter,1,5,3,0,1,False,4,11.470028101919999,1.06495618052
S1,shorter,1,5,4,1,1,True,5,8.49177637212,1.71725513424
S1,shorter,1,5,6,1,1,True,2,6.6282308673,1.50552135925
S1,shorter,1,5,7,0,0,True,4,9.62947456468,2.93561657374
S1,shorter,1,5,8,0,0,True,2,7.62113298291,1.87953814553
S1,shorter,1,5,9,0,0,True,2,4.39885804579,1.39100213088
S1,shorter,1,5,10,1,1,True,2,5.9306494154,2.1280718359
S1,shorter,1,5,11,1,0,False,1,4.02693393316,1.62539236648
S1,shorter,1,5,12,1,0,False,1,4.12938194765,1.2503876017
S1,shorter,1,5,13,0,0,True,2,4.273692452250001,1.0495782066
S1,shorter,1,5,14,1,1,True,5,10.3255028021,2.27578835257
S1,shorter,1,5,15,1,1,True,3,6.286227879309998,2.04999063224
S1,shorter,1,5,16,0,0,True,5,13.58340992258,1.49107697868
S1,shorter,1,5,17,1,1,True,5,12.76028756648,1.01971543958
S1,shorter,1,5,18,1,1,True,3,8.43937908106,2.39478006416
S1,shorter,1,5,19,0,1,False,2,4.2775455972500005,1.41345740438
S1,shorter,1,5,20,0,0,True,2,5.82882360164,2.0073928614
S1,shorter,1,5,21,1,1,True,4,11.20376279656,2.06691513668
S1,shorter,1,5,22,1,1,True,2,5.8736677982000005,1.3906722985799995
S1,shorter,1,5,23,0,0,True,2,6.563750553750001,2.60166336907
S1,shorter,1,5,24,1,0,False,2,4.53912369611,1.38744221382
S1,shorter,1,5,25,1,1,True,1,3.23614656015,1.01011853134
S1,shorter,1,5,26,1,1,True,1,2.87153989754,1.39599586587
S1,shorter,1,5,27,1,1,True,4,9.248791198089998,2.41191478785
S1,shorter,1,5,28,1,0,False,1,4.227501889030001,2.64430024398
S1,shorter,1,5,29,0,0,True,2,7.65724359887,2.08773971346
S1,shorter,1,5,30,1,1,True,1,4.3828368298,1.87882224401
S1,shorter,1,5,31,0,0,True,1,4.16404760469,2.14630509397
S1,shorter,1,5,32,0,0,True,3,8.844441385869997,2.84626547232
S1,shorter,1,5,33,0,1,False,1,4.449084265160001,1.6983010552200002
S1,shorter,1,5,34,0,0,True,1,5.062021389580001,3.4989814431300004
S1,shorter,1,5,35,1,1,True,4,9.384186255589999,2.28294880797
S1,shorter,1,5,36,1,1,True,1,3.97540565368,1.58053003898
S1,shorter,1,5,37,1,1,True,1,3.47718990112,1.86005085058
S1,shorter,1,6,1,0,0,True,4,10.02113988856,1.87799910186
S1,shorter,1,6,2,0,0,True,3,9.53978672685,2.90416717331
S1,shorter,1,6,3,0,0,True,1,3.6632416947099995,2.15560884126
S1,shorter,1,6,4,0,0,True,5,13.554039165499999,1.25271846
S1,shorter,1,6,5,0,1,False,3,8.4637223121,2.75315763033
S1,shorter,1,6,6,1,1,True,1,3.6589426567900003,1.55154593961
S1,shorter,1,6,7,1,1,True,1,3.100842424290001,1.84142487997
S1,shorter,1,6,8,1,0,False,1,3.7247898285,1.2239541028399998
S1,shorter,1,6,9,0,0,True,3,7.31094286839,1.68908065508
S1,shorter,1,6,10,0,0,True,3,6.80667281778,1.01758519824
S1,shorter,1,6,11,0,1,False,1,3.9917074959,2.3635579104599995
S1,shorter,1,6,12,1,0,False,2,6.87337631748,2.72044660989
S1,shorter,1,6,13,0,0,True,1,3.88647230441,1.07530769513
S1,shorter,1,6,14,0,0,True,1,2.6999284466300004,1.49210072907
S1,shorter,1,6,15,0,0,True,5,13.71351843973,1.81116505473
S1,shorter,1,6,17,1,1,True,2,5.138994767880001,1.00942602667
S1,shorter,1,6,18,1,0,False,1,6.65587023513,3.14933031339
S1,shorter,1,6,19,0,1,False,2,7.441543274720002,2.69749428134
S1,shorter,1,6,20,0,0,True,2,4.5064711519700005,1.26038305463
S1,shorter,1,6,21,0,0,True,4,7.35009070482,1.51404171479
S1,shorter,1,6,22,1,1,True,4,10.61974469512,1.11635810107
S1,shorter,1,6,23,0,1,False,4,8.576411471690001,1.24400698111
S1,shorter,1,6,24,1,1,True,5,11.15066080973,1.69284677555
S1,shorter,1,6,25,0,1,False,4,10.05444737959,1.82336062125
S1,shorter,1,6,26,0,0,True,2,5.60773434454,1.72217750713
S1,shorter,1,6,27,0,0,True,1,4.56769678795,2.99344482386
S1,shorter,1,6,28,0,1,False,3,6.968963316780001,1.26424446414
S1,shorter,1,6,29,1,1,True,2,6.5948365978200005,3.24738658838
S1,shorter,1,6,30,0,0,True,1,3.9776995984599997,2.22602363596
S1,shorter,1,6,31,0,1,False,1,2.75366978842,1.29038468224
S1,shorter,1,6,32,1,1,True,3,5.91986897485,1.28707968105
S1,shorter,1,6,33,1,1,True,3,7.989595659450001,2.13604148732
S1,shorter,1,6,34,1,0,False,1,3.57499040074,2.06313876961
S1,shorter,1,6,35,0,1,False,2,7.411045819630001,3.1658389621900005
S1,shorter,1,6,36,0,0,True,2,6.86299857668,1.9610836934
S1,shorter,1,6,37,1,1,True,4,7.80251719339,1.01301206329
S1,shorter,1,7,1,1,0,False,1,2.92914319335,1.6805802525
S1,shorter,1,7,2,1,1,True,3,9.37414158272,1.30399205445
S1,shorter,1,7,3,0,0,True,2,6.2715916594099985,2.13542512811
S1,shorter,1,7,4,1,1,True,1,2.79044788978,1.12795295
S1,shorter,1,7,5,1,1,True,4,10.794046418009998,1.5683621313799998
S1,shorter,1,7,6,0,0,True,5,12.83764336443,2.04937371413
S1,shorter,1,7,7,0,0,True,4,9.34104171589,1.89098480222
S1,shorter,1,7,8,1,1,True,4,9.77234758362,2.34566669239
S1,shorter,1,7,9,0,0,True,2,7.803550594209999,1.05671932045
S1,shorter,1,7,10,1,1,True,2,5.4557241323,1.31800217972
S1,shorter,1,7,11,1,1,True,1,3.6206380483599996,2.38011314233
S1,shorter,1,7,12,0,0,True,1,3.03537409797,1.23342288937
S1,shorter,1,7,13,1,0,False,1,2.543601312,1.34242642518
S1,shorter,1,7,14,0,0,True,1,4.2908243081699995,2.94148261239
S1,shorter,1,7,15,1,1,True,4,7.9003690020700015,1.45579927632
S1,shorter,1,7,16,0,1,False,3,6.81824886827,1.28815703899
S1,shorter,1,7,17,0,0,True,3,7.940427475369999,3.03331319066
S1,shorter,1,7,18,0,0,True,1,3.2242315618,1.6746389563600002
S1,shorter,1,7,19,1,0,False,3,6.002129698560001,1.23439092577
S1,shorter,1,7,20,0,0,True,2,5.33796034341,1.31133705096
S1,shorter,1,7,21,0,0,True,2,6.54872635357,1.30692020737
S1,shorter,1,7,22,1,1,True,5,8.993533180930001,1.23230374184
S1,shorter,1,7,23,1,1,True,2,4.93014574305,2.35842393951
S1,shorter,1,7,24,0,0,True,5,10.909637762460001,1.569640956
S1,shorter,1,7,25,0,0,True,3,6.84678511913,1.5197316256600002
S1,shorter,1,7,26,0,1,False,4,9.43206388896,3.18660032592
S1,shorter,1,7,27,1,1,True,1,4.263303960219999,2.96224014069
S1,shorter,1,7,28,1,1,True,4,8.52266177265,1.4546913641
S1,shorter,1,7,29,0,0,True,3,9.05333440701,1.46158259282
S1,shorter,1,7,30,0,0,True,5,10.58039516336,1.62633924431
S1,shorter,1,7,31,0,0,True,1,4.06896319189,1.38722993231
S1,shorter,1,7,32,1,1,True,3,7.936968730849999,2.9319684244300004
S1,shorter,1,7,33,1,1,True,2,7.911681627919999,2.09375995527
S1,shorter,1,7,34,1,1,True,2,4.67236544642,1.8760148235
S1,shorter,1,7,35,0,0,True,3,6.474293448330001,1.8762590458
S1,shorter,1,7,36,1,1,True,5,10.57156649229,1.55371799617
S1,shorter,1,8,1,1,0,False,2,6.277497876519999,2.13213773557
S1,shorter,1,8,2,0,0,True,4,10.987426890190001,3.03649222297
S1,shorter,1,8,3,0,0,True,4,11.00358228879,1.15555619223
S1,shorter,1,8,4,1,1,True,1,5.0819415340299985,3.06114840058
S1,shorter,1,8,5,0,1,False,1,5.391376579139999,2.88039328501
S1,shorter,1,8,6,0,0,True,2,3.87755733667,1.14204493724
S1,shorter,1,8,7,0,0,True,1,3.921816341780001,1.05433920709
S1,shorter,1,8,8,1,1,True,3,6.43604112604,1.25406893269
S1,shorter,1,8,9,1,1,True,4,13.113095131589999,1.99597173979
S1,shorter,1,8,10,0,0,True,1,2.5108177152800004,1.1337187136700002
S1,shorter,1,8,11,1,1,True,4,9.66934747268,2.37683228855
S1,shorter,1,8,12,1,0,False,1,3.48559537422,1.31339580514
S1,shorter,1,8,13,1,0,False,2,8.98873750671,3.81298887123
S1,shorter,1,8,14,0,0,True,2,8.17910882867,3.03425740532
S1,shorter,1,8,15,0,0,True,3,9.4085757642,3.30186750968
S1,shorter,1,8,16,1,1,True,2,4.28854728366,1.0102345548
S1,shorter,1,8,17,0,0,True,2,6.10496020718,1.6785672236200002
S1,shorter,1,8,18,0,0,True,3,8.13064031912,2.20441131565
S1,shorter,1,8,19,0,1,False,1,3.3848510222899995,2.03878814761
S1,shorter,1,8,20,0,0,True,2,4.49402404926,1.17519392236
S1,shorter,1,8,21,1,1,True,4,10.77133605089,1.99564765247
S1,shorter,1,8,22,0,0,True,3,9.876820626419999,3.8001987439699993
S1,shorter,1,8,23,1,1,True,3,10.767573902219999,3.71550027735
S1,shorter,1,8,24,1,1,True,1,3.5596162818599995,2.345233787
